,,,,,,,,,,,
,Description,Item,Usage Count,"Purchase
Quantity",Unit Price,Subtotal,"Price(HKD)
[$]","Price(RMB)
[$]",Price(USD) [$],Link,Additional description
,Electrical Components,,,,,,,,,,
,ESP32-CAM with camera + ESP32-CAM-MB + Cable,,1,1,$66.06,$66.06,$66.06,$56.99,$8.43,https://detail.tmall.com/item.htm?abbucket=10&id=995997275127&pisk=hJ7-E-6Coo8YReF0XKrzH2YHyS2GNwABO65EOLTWK93CCtsor0fId9CdhwxBK_YL9tJcrLfkPpLd_OBkEHmlDXCNHS2gSlVmdr8ZVQiSKIGX1zrBa84Ga_JEwvNGcMxXaTRqA26BVKiXtKiBOe6BcIOkh4OIPe9bMBJXde9SPKaXsCmIPQtQMrOk6bGSPHMjlBAnFeTCdsNvTKOWRe6CGSdFyoK7Z87jUsDMnAmPNK31sZpKIdC9h2GfmQUwCHxq5JQO1__w9wPsvppAVTAVpPevlaBRPnLLJq8l6i6JDgKFiwVjAkJRnsXZsWyFugSFmtMzv8e2nijHvc44qrs67G_xQJ_L__BGwHh06ae5yUsRozlLwlCC3ESi2vF7SiLMWMDaniUQVIyEBsOOrA_LDIpgiQmEYnE2MdVYDDoeVIRvISqsYD-Y0&rn=d9220fbaf0dac2cf698d716ad19b5131&spm=a312a.7700824.w4011-23530618539.251.7591338dz6A8VM,
,Male-to-Female Dupont Jumper Wires (20cm),,1,1,$3.89,$3.89,$3.89,$3.36,$0.50,https://item.taobao.com/item.htm?id=740182471156&mi_id=0000tIkDEF0SAF82iR8EbUpAAPnlCJYVzNdh5IOCKi-juUs&spm=a21xtw.29978516.0.0&xxc=shop&skuId=5274379346973,
,Lever Wire Connectors (1-in 1-out),,1,1,$5.56,$5.56,$5.56,$4.80,$0.71,https://detail.tmall.com/item.htm?abbucket=10&id=772853735770&pisk=hDWIffvR7isJrpvz_AjP-BJnxLJJJa8yzgLJAFYKYHPhN8QF7wSPag3RPg_OUQLPYLZ5SFWe8MJpPLsclw8eaX5sVib_bry4gbj4hKcp2Y3yXFKPA_UKx-ShxUmIyo5OaCh3Xhc-eadpWfKyWXhK9adtB3Ytp3HpeFE6qFLJeedKWcKy4bhpyBEsWnKryXLKpFH9DnYJeLQRXltkWHpJeaITf3bJvOUmLO-l6ZSQ4xRBkGFiefqyvQ8fvIM-ebxCqISagveXW65RLdBLWkpOm17pfKwSVh1fXpKCr-DHpiIOwHPrUXByU8zPtGSVrVw7MOjhcwftxoVQ4ivdgToL7OzXW6WclXEYhPY5OsC-5lzU5GWVqig3o7WftsWh2fFGptT9CwBiXP1oZ-otXN0e4JrW9hxazlZsggApjh94flGoZBKMbdE_fjSl.&rn=11a74fc95474a9eba91880803d9d52f4&spm=a312a.7700824.w4011-21165462654.105.7f9a258dGfp0MK&skuId=5459665578163,
,"12mm Waterproof Metal Push Button with Wired Socket (3-8V, Self-Resetting, Ring LED + Pre-wired socket plug)",,1,1,$6.95,$6.95,$6.95,$6.00,$0.89,https://item.taobao.com/item.htm?id=726059425167&mi_id=0000JZViVuAY1Y93IB_wCMxh0xk7OLpOiehPW2RXMKahYNM&spm=a21xtw.29978516.0.0&xxc=shop&skuId=5762794790582,
,18650 lithium battery with Smart Charger (Two 5550mWh pointed-tip batteries [with smart charger]),,1,1,$30.14,$30.14,$30.14,$26.00,$3.85,https://detail.tmall.com/item.htm?id=680644058705&mi_id=0000k6_nT1xx1PB0R3SGFTcuUCM8JLkvgcXjZwviqQvDgfY&skuId=4879923257782&spm=a21xtw.29978518.0.0&xxc=shop,
,ESP32 18650 lithium battery expansion board (Single-slot shield),,1,1,$6.38,$6.38,$6.38,$5.50,$0.81,https://item.taobao.com/item.htm?id=632816781540&pisk=hrbtjuXf-eiUlEF32pJIov8DuW2kfZAXGs5qGdT6IjBAgId61KisAyOJZnMMSnVvMpC7_dq4btIdh9-MCdVwkn6fCn6Dn1YN_E8TSNHPW2GBs6gX1Cg2k_0vl82ukDcBbRXMGfEg56NpiIos1t96Ae9eMVi1hdtIdIR2lK6XlWKBaIl6Gq9sdvOydmg6cqTIAQO61c9XlWCBLI3XlE6XRWd2dKTXlanBf52axgK09KDob19KP_bdiYvJgpgjpZRTULtDYceFy_11zIQ4NmpvpG6MTtU8pe_OBNtpkr3eS_ICBHI9Yt_0OmZVYOIPpbZlJNdVwgXS4yQYU_b15HuaRwVMd3T1Zme8zube7FX-cr_LZpjAYgoU2uNGJN6FBfZuXlBpVibEWXe8FlOU3YCBwpKspYRpEWAi0m-LYBpu9knq0hOe9LV3Vmo2vk5..&spm=a312a.7700824.w4002-14463293375.11.5c4c2b89iSun4j&skuId=5999029593076,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,Total,,$118.98,$102.65,$15.19,,